execution,method,dimension,dataset,dataset_size,accuracy,kappa,f1,macro-f1,time
0,hashing-tricks,100,amazon,20000,0.56715,0.13417209990259754,0.614885003781307,0.3736070256135559,17.782414436340332
0,glove,100,amazon,20000,0.6546,0.3093373866070561,0.6193100407803372,0.43441453227127785,23.219972848892212
1,hashing-tricks,100,amazon,20000,0.56945,0.13734370766268308,0.618627928606227,0.37478948557827163,17.2979154586792
1,glove,100,amazon,20000,0.64755,0.2962582252503006,0.6065747613997878,0.42913359117878985,23.282410144805908
2,hashing-tricks,100,amazon,20000,0.5644,0.12788861744188532,0.611522340140908,0.37193956796024535,17.076764345169067
2,glove,100,amazon,20000,0.66,0.32057200363585914,0.6289019864658372,0.43840754412375266,23.173481464385986
3,hashing-tricks,100,amazon,20000,0.5617,0.12517864304189924,0.6097756410256411,0.36997273767483346,17.500475883483887
3,glove,100,amazon,20000,0.66485,0.32880455144012194,0.6306276519534909,0.4413093454525548,23.29468536376953
4,hashing-tricks,100,amazon,20000,0.5629,0.12417413437957948,0.6089562922202837,0.3711821892122696,17.473066568374634
4,glove,100,amazon,20000,0.6573,0.3158115199092359,0.6200166343221514,0.43598684751186384,23.232006311416626
5,hashing-tricks,100,amazon,20000,0.5733,0.14847944636276875,0.6188817434798142,0.3780816504316293,17.139618635177612
5,glove,100,amazon,20000,0.6611,0.3212285592833324,0.6277869302581,0.43891947654617375,23.340622901916504
6,hashing-tricks,100,amazon,20000,0.56125,0.12652474251554519,0.6051660516605166,0.37051690199638115,17.239447832107544
6,glove,100,amazon,20000,0.6614,0.32029102083210165,0.6202680724580787,0.4382608960400982,23.334505319595337
7,hashing-tricks,100,amazon,20000,0.5681,0.1375971572854109,0.6135123042505592,0.3747120452097025,17.14746594429016
7,glove,100,amazon,20000,0.6598,0.3188023004639008,0.6231723526805494,0.4377139396750565,23.26723575592041
8,hashing-tricks,100,amazon,20000,0.56875,0.13684454564262466,0.6152404747033106,0.37492187939830757,17.218847513198853
8,glove,100,amazon,20000,0.6638,0.32802668289716064,0.6328837437885655,0.44094065092377316,23.334168195724487
9,hashing-tricks,100,amazon,20000,0.56995,0.13947342837317875,0.6178117500666608,0.3754139222136435,17.342291593551636
9,glove,100,amazon,20000,0.65345,0.3072326737977155,0.6164065094652939,0.4334662224669416,23.277917623519897
0,hashing-tricks,100,twitter,10000,0.6008,0.20143143814796433,0.6153253012048193,0.40017631957589295,7.648409128189087
0,glove,100,twitter,10000,0.6152,0.2310240086374708,0.5824378595462932,0.4085596993963261,10.005197286605835
1,hashing-tricks,100,twitter,10000,0.599,0.19849382398516613,0.6081688489349228,0.39920699129030623,7.60169529914856
1,glove,100,twitter,10000,0.6002,0.19904244101412352,0.5546892403653374,0.397339325471566,9.917649745941162
2,hashing-tricks,100,twitter,10000,0.6031,0.20606630156518355,0.6108277755982738,0.40198390574959636,7.6231324672698975
2,glove,100,twitter,10000,0.6165,0.23414883801107644,0.5854238754325259,0.4095709572683188,9.920889854431152
